货币名称,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,中行折算价,发布时间
美元,612.57,607.66,615.03,615.03,615.25,2014.09.30 21:41:39
美元,612.57,607.66,615.03,615.03,615.25,2014.09.30 21:21:29
美元,612.57,607.66,615.03,615.03,615.25,2014.09.30 17:29:27
美元,612.57,607.66,615.03,615.03,615.25,2014.09.30 17:15:54
美元,612.57,607.66,615.03,615.03,615.25,2014.09.30 17:04:26
美元,612.57,607.66,615.03,615.03,615.25,2014.09.30 17:02:39
美元,612.57,607.66,615.03,615.03,615.25,2014.09.30 17:01:03
美元,612.57,607.66,615.03,615.03,615.25,2014.09.30 16:55:10
美元,612.57,607.66,615.03,615.03,615.25,2014.09.30 16:30:35
美元,612.69,607.78,615.15,615.15,615.25,2014.09.30 16:29:05
美元,612.57,607.66,615.03,615.03,615.25,2014.09.30 16:26:33
美元,612.72,607.81,615.18,615.18,615.25,2014.09.30 16:25:12
美元,612.8,607.89,615.26,615.26,615.25,2014.09.30 16:24:26
美元,612.82,607.91,615.28,615.28,615.25,2014.09.30 16:24:04
美元,612.85,607.94,615.31,615.31,615.25,2014.09.30 16:21:51
美元,612.87,607.96,615.33,615.33,615.25,2014.09.30 16:21:14
美元,612.92,608.01,615.38,615.38,615.25,2014.09.30 16:21:02
美元,612.77,607.86,615.23,615.23,615.25,2014.09.30 16:12:50
美元,612.83,607.92,615.29,615.29,615.25,2014.09.30 16:10:48
美元,612.77,607.86,615.23,615.23,615.25,2014.09.30 16:07:19
美元,612.82,607.91,615.28,615.28,615.25,2014.09.30 16:06:30
美元,612.86,607.95,615.32,615.32,615.25,2014.09.30 16:02:48
美元,612.89,607.98,615.35,615.35,615.25,2014.09.30 16:02:21
美元,612.97,608.06,615.43,615.43,615.25,2014.09.30 16:00:05
美元,612.99,608.08,615.45,615.45,615.25,2014.09.30 15:59:33
美元,613.02,608.11,615.48,615.48,615.25,2014.09.30 15:54:53
美元,612.98,608.07,615.44,615.44,615.25,2014.09.30 15:53:16
美元,613.01,608.1,615.47,615.47,615.25,2014.09.30 15:50:24
美元,612.98,608.07,615.44,615.44,615.25,2014.09.30 15:50:07
美元,612.92,608.01,615.38,615.38,615.25,2014.09.30 15:49:58
美元,612.87,607.96,615.33,615.33,615.25,2014.09.30 15:48:01
美元,612.87,607.96,615.33,615.33,615.25,2014.09.30 15:47:56
美元,612.82,607.91,615.28,615.28,615.25,2014.09.30 15:46:18
美元,612.88,607.97,615.34,615.34,615.25,2014.09.30 15:44:06
美元,613.06,608.15,615.52,615.52,615.25,2014.09.30 15:39:03
美元,613.09,608.18,615.55,615.55,615.25,2014.09.30 15:33:19
美元,613.14,608.23,615.6,615.6,615.25,2014.09.30 15:29:00
美元,613.22,608.31,615.68,615.68,615.25,2014.09.30 15:27:43
美元,613.22,608.31,615.68,615.68,615.25,2014.09.30 15:25:43
美元,613.17,608.26,615.63,615.63,615.25,2014.09.30 15:23:20
美元,613.22,608.31,615.68,615.68,615.25,2014.09.30 15:22:13
美元,613.27,608.36,615.73,615.73,615.25,2014.09.30 15:21:35
美元,613.25,608.34,615.71,615.71,615.25,2014.09.30 15:20:42
美元,613.17,608.26,615.63,615.63,615.25,2014.09.30 15:20:15
美元,613.12,608.21,615.58,615.58,615.25,2014.09.30 15:18:57
美元,613.12,608.21,615.58,615.58,615.25,2014.09.30 15:14:18
美元,613.05,608.14,615.51,615.51,615.25,2014.09.30 15:08:22
美元,613.02,608.11,615.48,615.48,615.25,2014.09.30 15:00:50
美元,612.98,608.07,615.44,615.44,615.25,2014.09.30 14:59:39
