货币名称,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,中行折算价,发布时间
美元,604.89,600.04,607.31,607.31,610.5,2014.01.31 22:22:20
美元,604.89,600.04,607.31,607.31,610.5,2014.01.31 21:37:40
美元,604.89,600.04,607.31,607.31,610.5,2014.01.31 15:52:26
美元,604.89,600.04,607.31,607.31,610.5,2014.01.31 15:38:00
美元,604.89,600.04,607.31,607.31,610.5,2014.01.31 15:24:43
美元,604.89,600.04,607.31,607.31,610.5,2014.01.31 15:02:33
美元,604.89,600.04,607.31,607.31,610.5,2014.01.31 10:30:00
美元,604.89,600.04,607.31,607.31,610.5,2014.01.31 09:41:13
美元,604.89,600.04,607.31,607.31,610.5,2014.01.31 09:21:49
美元,604.89,600.04,607.31,607.31,610.5,2014.01.31 09:10:14
美元,604.89,600.04,607.31,607.31,610.5,2014.01.31 09:03:22
美元,604.89,600.04,607.31,607.31,610.5,2014.01.31 00:00:05
美元,604.89,600.04,607.31,607.31,610.5,2014.01.31 00:00:05
美元,604.89,600.04,607.31,607.31,610.5,2014.01.30 17:35:31
美元,604.79,599.94,607.21,607.21,610.5,2014.01.30 17:05:10
美元,608.78,603.9,611.22,611.22,610.5,2014.01.30 17:05:03
美元,604.79,599.94,607.21,607.21,610.5,2014.01.30 17:03:46
美元,604.79,599.94,607.21,607.21,610.5,2014.01.30 16:37:28
美元,604.89,600.04,607.31,607.31,610.5,2014.01.30 16:28:51
美元,604.99,600.14,607.41,607.41,610.5,2014.01.30 16:22:41
美元,604.79,599.94,607.21,607.21,610.5,2014.01.30 16:17:51
美元,604.79,599.94,607.21,607.21,610.5,2014.01.30 16:16:44
美元,604.69,599.84,607.11,607.11,610.5,2014.01.30 16:16:13
美元,604.64,599.79,607.06,607.06,610.5,2014.01.30 16:12:10
美元,604.59,599.74,607.01,607.01,610.5,2014.01.30 16:09:50
美元,604.54,599.69,606.96,606.96,610.5,2014.01.30 15:52:05
美元,604.54,599.69,606.96,606.96,610.5,2014.01.30 15:47:04
美元,604.54,599.69,606.96,606.96,610.5,2014.01.30 15:43:38
美元,604.46,599.61,606.88,606.88,610.5,2014.01.30 15:41:34
美元,604.39,599.54,606.81,606.81,610.5,2014.01.30 15:29:53
美元,604.39,599.54,606.81,606.81,610.5,2014.01.30 15:12:47
美元,604.44,599.59,606.86,606.86,610.5,2014.01.30 15:07:51
美元,604.39,599.54,606.81,606.81,610.5,2014.01.30 14:53:29
美元,604.44,599.59,606.86,606.86,610.5,2014.01.30 14:50:12
美元,604.39,599.54,606.81,606.81,610.5,2014.01.30 14:46:50
美元,604.49,599.64,606.91,606.91,610.5,2014.01.30 14:46:15
美元,604.59,599.74,607.01,607.01,610.5,2014.01.30 14:44:34
美元,604.59,599.74,607.01,607.01,610.5,2014.01.30 14:44:22
美元,604.59,599.74,607.01,607.01,610.5,2014.01.30 14:35:23
美元,604.59,599.74,607.01,607.01,610.5,2014.01.30 14:10:19
美元,604.59,599.74,607.01,607.01,610.5,2014.01.30 13:45:58
美元,604.54,599.69,606.96,606.96,610.5,2014.01.30 13:44:45
美元,604.49,599.64,606.91,606.91,610.5,2014.01.30 13:41:15
美元,604.49,599.64,606.91,606.91,610.5,2014.01.30 13:35:54
美元,604.49,599.64,606.91,606.91,610.5,2014.01.30 13:24:03
美元,604.55,599.7,606.97,606.97,610.5,2014.01.30 12:37:15
美元,604.55,599.7,606.97,606.97,610.5,2014.01.30 12:18:44
美元,604.62,599.77,607.04,607.04,610.5,2014.01.30 11:57:11
美元,604.54,599.69,606.96,606.96,610.5,2014.01.30 11:46:13
美元,604.49,599.64,606.91,606.91,610.5,2014.01.30 11:17:45
美元,604.49,599.64,606.91,606.91,610.5,2014.01.30 11:12:51
美元,604.44,599.59,606.86,606.86,610.5,2014.01.30 10:51:05
美元,604.44,599.59,606.86,606.86,610.5,2014.01.30 10:48:37
美元,604.39,599.54,606.81,606.81,610.5,2014.01.30 10:37:14
美元,604.34,599.49,606.76,606.76,610.5,2014.01.30 10:32:17
美元,604.39,599.54,606.81,606.81,610.5,2014.01.30 10:30:00
美元,604.39,599.54,606.81,606.81,610.5,2014.01.30 10:17:13
美元,604.34,599.49,606.76,606.76,610.5,2014.01.30 10:16:54
美元,604.34,599.49,606.76,606.76,610.5,2014.01.30 10:16:47
美元,604.34,599.49,606.76,606.76,610.5,2014.01.30 09:44:18
美元,604.24,599.4,606.66,606.66,610.5,2014.01.30 09:43:20
美元,604.34,599.49,606.76,606.76,610.5,2014.01.30 09:41:07
美元,604.24,599.4,606.66,606.66,610.5,2014.01.30 09:37:35
美元,604.19,599.35,606.61,606.61,610.5,2014.01.30 09:35:29
美元,604.14,599.3,606.56,606.56,610.5,2014.01.30 09:22:21
美元,604.24,599.4,606.66,606.66,610.5,2014.01.30 09:22:11
美元,604.24,599.4,606.66,606.66,610.5,2014.01.30 09:22:07
美元,604.24,599.4,606.66,606.66,610.73,2014.01.30 08:49:16
美元,604.24,599.4,606.66,606.66,610.73,2014.01.30 08:03:17
美元,604.34,599.49,606.76,606.76,610.73,2014.01.30 08:03:09
美元,604.44,599.59,606.86,606.86,610.73,2014.01.30 08:02:46
美元,604.39,599.54,606.81,606.81,610.73,2014.01.30 08:02:33
美元,604.24,599.4,606.66,606.66,610.73,2014.01.30 07:58:34
美元,604.24,599.4,606.66,606.66,610.73,2014.01.30 07:12:07
美元,604.24,599.4,606.66,606.66,610.73,2014.01.30 00:00:05
美元,604.24,599.4,606.66,606.66,610.73,2014.01.30 00:00:05
美元,604.24,599.4,606.66,606.66,610.73,2014.01.29 17:34:49
美元,604.24,599.4,606.66,606.66,610.73,2014.01.29 17:17:38
美元,604.24,599.4,606.66,606.66,610.73,2014.01.29 17:17:01
美元,609.23,604.35,611.67,611.67,610.73,2014.01.29 17:16:52
美元,604.24,599.4,606.66,606.66,610.73,2014.01.29 17:15:20
美元,604.24,599.4,606.66,606.66,610.73,2014.01.29 16:55:17
