货币名称,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,中行折算价,发布时间
美元,612.47,607.56,614.93,614.93,612.14,2014.02.28 22:03:05
美元,612.47,607.56,614.93,614.93,612.14,2014.02.28 19:08:00
美元,612.47,607.56,614.93,614.93,612.14,2014.02.28 18:57:28
美元,612.47,607.56,614.93,614.93,612.14,2014.02.28 18:57:23
美元,612.47,607.56,614.93,614.93,612.14,2014.02.28 18:22:42
美元,611.47,606.57,613.93,613.93,612.14,2014.02.28 18:22:36
美元,612.47,607.56,614.93,614.93,612.14,2014.02.28 18:20:28
美元,612.47,607.56,614.93,614.93,612.14,2014.02.28 18:13:31
美元,612.47,607.56,614.93,614.93,612.14,2014.02.28 17:15:26
美元,612.57,607.66,615.03,615.03,612.14,2014.02.28 16:39:47
美元,612.77,607.86,615.23,615.23,612.14,2014.02.28 16:31:10
美元,612.77,607.86,615.23,615.23,612.14,2014.02.28 16:30:57
美元,612.77,607.86,615.23,615.23,612.14,2014.02.28 16:27:27
美元,613.02,608.11,615.48,615.48,612.14,2014.02.28 16:26:50
美元,613.07,608.16,615.53,615.53,612.14,2014.02.28 16:26:38
美元,613.17,608.26,615.63,615.63,612.14,2014.02.28 16:23:44
美元,613.37,608.45,615.83,615.83,612.14,2014.02.28 16:20:25
美元,613.57,608.65,616.03,616.03,612.14,2014.02.28 16:20:15
美元,613.37,608.45,615.83,615.83,612.14,2014.02.28 16:17:41
美元,613.77,608.85,616.23,616.23,612.14,2014.02.28 16:16:48
美元,613.27,608.36,615.73,615.73,612.14,2014.02.28 16:16:27
美元,612.77,607.86,615.23,615.23,612.14,2014.02.28 16:16:04
美元,612.47,607.56,614.93,614.93,612.14,2014.02.28 16:14:12
美元,612.47,607.56,614.93,614.93,612.14,2014.02.28 16:14:08
美元,612.57,607.66,615.03,615.03,612.14,2014.02.28 16:12:16
美元,612.67,607.76,615.13,615.13,612.14,2014.02.28 16:11:59
美元,612.95,608.04,615.41,615.41,612.14,2014.02.28 16:10:47
美元,613.07,608.16,615.53,615.53,612.14,2014.02.28 16:07:56
美元,613.27,608.36,615.73,615.73,612.14,2014.02.28 16:02:15
美元,613.42,608.5,615.88,615.88,612.14,2014.02.28 15:59:06
美元,613.47,608.55,615.93,615.93,612.14,2014.02.28 15:57:36
美元,613.57,608.65,616.03,616.03,612.14,2014.02.28 15:51:38
美元,613.62,608.7,616.08,616.08,612.14,2014.02.28 15:51:06
美元,613.72,608.8,616.18,616.18,612.14,2014.02.28 15:50:46
美元,613.77,608.85,616.23,616.23,612.14,2014.02.28 15:46:52
美元,613.77,608.85,616.23,616.23,612.14,2014.02.28 15:45:55
美元,613.82,608.9,616.28,616.28,612.14,2014.02.28 15:41:22
美元,613.82,608.9,616.28,616.28,612.14,2014.02.28 15:34:38
美元,613.87,608.95,616.33,616.33,612.14,2014.02.28 15:32:11
美元,614.02,609.1,616.48,616.48,612.14,2014.02.28 15:29:29
美元,613.97,609.05,616.43,616.43,612.14,2014.02.28 15:29:01
美元,613.77,608.85,616.23,616.23,612.14,2014.02.28 15:28:24
美元,613.67,608.75,616.13,616.13,612.14,2014.02.28 15:25:28
美元,613.47,608.55,615.93,615.93,612.14,2014.02.28 15:22:07
美元,613.27,608.36,615.73,615.73,612.14,2014.02.28 15:21:51
美元,613.57,608.65,616.03,616.03,612.14,2014.02.28 15:18:12
美元,613.67,608.75,616.13,616.13,612.14,2014.02.28 15:17:53
美元,613.77,608.85,616.23,616.23,612.14,2014.02.28 15:17:41
美元,613.87,608.95,616.33,616.33,612.14,2014.02.28 15:02:34
美元,613.97,609.05,616.43,616.43,612.14,2014.02.28 14:58:48
美元,614.02,609.1,616.48,616.48,612.14,2014.02.28 14:56:11
美元,613.97,609.05,616.43,616.43,612.14,2014.02.28 14:44:59
美元,614.07,609.15,616.53,616.53,612.14,2014.02.28 14:44:34
美元,614.17,609.25,616.63,616.63,612.14,2014.02.28 14:36:42
美元,614.27,609.35,616.73,616.73,612.14,2014.02.28 14:31:01
美元,614.37,609.44,616.83,616.83,612.14,2014.02.28 14:30:29
美元,614.42,609.49,616.88,616.88,612.14,2014.02.28 14:27:54
美元,614.47,609.54,616.93,616.93,612.14,2014.02.28 14:24:48
美元,614.52,609.59,616.98,616.98,612.14,2014.02.28 14:23:12
美元,614.62,609.69,617.08,617.08,612.14,2014.02.28 14:22:08
美元,614.67,609.74,617.13,617.13,612.14,2014.02.28 14:16:04
美元,614.72,609.79,617.18,617.18,612.14,2014.02.28 14:13:48
美元,614.77,609.84,617.23,617.23,612.14,2014.02.28 14:12:38
美元,614.87,609.94,617.33,617.33,612.14,2014.02.28 14:08:58
美元,614.62,609.69,617.08,617.08,612.14,2014.02.28 14:08:22
美元,614.37,609.44,616.83,616.83,612.14,2014.02.28 14:04:10
美元,614.27,609.35,616.73,616.73,612.14,2014.02.28 14:02:25
美元,614.37,609.44,616.83,616.83,612.14,2014.02.28 14:02:08
美元,614.57,609.64,617.03,617.03,612.14,2014.02.28 14:00:22
美元,614.77,609.84,617.23,617.23,612.14,2014.02.28 14:00:00
美元,614.92,609.99,617.38,617.38,612.14,2014.02.28 13:59:48
美元,614.97,610.04,617.43,617.43,612.14,2014.02.28 13:59:36
美元,615.02,610.09,617.48,617.48,612.14,2014.02.28 13:43:49
美元,615.07,610.14,617.53,617.53,612.14,2014.02.28 13:43:22
美元,615.07,610.14,617.53,617.53,612.14,2014.02.28 13:34:31
美元,614.97,610.04,617.43,617.43,612.14,2014.02.28 13:33:52
美元,615.11,610.18,617.57,617.57,612.14,2014.02.28 13:31:50
美元,614.97,610.04,617.43,617.43,612.14,2014.02.28 13:12:46
美元,614.97,610.04,617.43,617.43,612.14,2014.02.28 12:01:09
美元,615.02,610.09,617.48,617.48,612.14,2014.02.28 11:55:29
美元,614.93,610,617.39,617.39,612.14,2014.02.28 11:42:49
美元,615.07,610.14,617.53,617.53,612.14,2014.02.28 11:38:49
美元,615.17,610.24,617.63,617.63,612.14,2014.02.28 11:32:23
美元,615.47,610.53,617.93,617.93,612.14,2014.02.28 11:30:57
美元,615.52,610.58,617.98,617.98,612.14,2014.02.28 11:30:28
美元,615.57,610.63,618.03,618.03,612.14,2014.02.28 11:29:41
美元,615.27,610.34,617.73,617.73,612.14,2014.02.28 11:29:34
美元,615.07,610.14,617.53,617.53,612.14,2014.02.28 11:22:41
美元,615.17,610.24,617.63,617.63,612.14,2014.02.28 11:21:47
美元,615.27,610.34,617.73,617.73,612.14,2014.02.28 11:21:30
美元,615.37,610.43,617.83,617.83,612.14,2014.02.28 11:20:44
美元,615.47,610.53,617.93,617.93,612.14,2014.02.28 11:19:53
美元,615.57,610.63,618.03,618.03,612.14,2014.02.28 11:16:56
美元,615.47,610.53,617.93,617.93,612.14,2014.02.28 11:15:50
美元,615.57,610.63,618.03,618.03,612.14,2014.02.28 11:15:12
美元,615.67,610.73,618.13,618.13,612.14,2014.02.28 11:14:16
美元,615.77,610.83,618.23,618.23,612.14,2014.02.28 11:13:26
美元,616.07,611.13,618.53,618.53,612.14,2014.02.28 11:12:56
美元,616.27,611.33,618.74,618.74,612.14,2014.02.28 11:12:19
美元,616.36,611.42,618.84,618.84,612.14,2014.02.28 11:11:11
美元,616.51,611.57,618.99,618.99,612.14,2014.02.28 11:11:00
美元,616.61,611.67,619.09,619.09,612.14,2014.02.28 11:09:03
美元,616.46,611.52,618.94,618.94,612.14,2014.02.28 11:08:22
美元,616.27,611.33,618.74,618.74,612.14,2014.02.28 11:08:04
美元,616.07,611.13,618.53,618.53,612.14,2014.02.28 11:07:56
美元,615.97,611.03,618.43,618.43,612.14,2014.02.28 11:06:34
美元,615.77,610.83,618.23,618.23,612.14,2014.02.28 11:06:02
美元,615.67,610.73,618.13,618.13,612.14,2014.02.28 11:02:02
美元,615.57,610.63,618.03,618.03,612.14,2014.02.28 11:00:34
美元,615.17,610.24,617.63,617.63,612.14,2014.02.28 10:58:57
美元,614.97,610.04,617.43,617.43,612.14,2014.02.28 10:58:34
