货币名称,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,中行折算价,发布时间
美元,624.55,619.54,627.05,627.05,615.8,2014.04.30 21:52:06
美元,624.55,619.54,627.05,627.05,615.8,2014.04.30 18:24:14
美元,624.55,619.54,627.05,627.05,615.8,2014.04.30 18:10:09
美元,619.56,614.59,622.04,622.04,615.8,2014.04.30 18:10:02
美元,624.55,619.54,627.05,627.05,615.8,2014.04.30 17:33:11
美元,624.55,619.54,627.05,627.05,615.8,2014.04.30 17:25:53
美元,624.5,619.49,627,627,615.8,2014.04.30 17:07:28
美元,624.5,619.49,627,627,615.8,2014.04.30 17:01:40
美元,624.5,619.49,627,627,615.8,2014.04.30 17:00:21
美元,624.5,619.49,627,627,615.8,2014.04.30 16:32:36
美元,624.6,619.59,627.1,627.1,615.8,2014.04.30 16:29:41
美元,624.58,619.57,627.08,627.08,615.8,2014.04.30 16:29:18
美元,624.53,619.52,627.03,627.03,615.8,2014.04.30 16:29:08
美元,624.5,619.49,627,627,615.8,2014.04.30 16:27:40
美元,624.55,619.54,627.05,627.05,615.8,2014.04.30 16:26:53
美元,624.51,619.5,627.01,627.01,615.8,2014.04.30 16:26:47
美元,624.5,619.49,627,627,615.8,2014.04.30 16:25:34
美元,624.55,619.54,627.05,627.05,615.8,2014.04.30 16:25:22
美元,624.43,619.42,626.93,626.93,615.8,2014.04.30 16:23:52
美元,624.45,619.44,626.95,626.95,615.8,2014.04.30 16:23:32
美元,624.5,619.49,627,627,615.8,2014.04.30 16:22:49
美元,624.45,619.44,626.95,626.95,615.8,2014.04.30 16:22:27
美元,624.35,619.34,626.85,626.85,615.8,2014.04.30 16:22:11
美元,624.33,619.32,626.83,626.83,615.8,2014.04.30 16:21:45
美元,624.35,619.34,626.85,626.85,615.8,2014.04.30 16:21:11
美元,624.42,619.41,626.92,626.92,615.8,2014.04.30 16:20:52
美元,624.4,619.39,626.9,626.9,615.8,2014.04.30 16:21:01
美元,624.45,619.44,626.95,626.95,615.8,2014.04.30 16:20:43
美元,624.5,619.49,627,627,615.8,2014.04.30 16:20:33
美元,624.51,619.5,627.01,627.01,615.8,2014.04.30 16:20:15
美元,624.45,619.44,626.95,626.95,615.8,2014.04.30 16:19:46
美元,624.4,619.39,626.9,626.9,615.8,2014.04.30 16:18:43
美元,624.3,619.29,626.8,626.8,615.8,2014.04.30 16:18:26
美元,624.2,619.2,626.7,626.7,615.8,2014.04.30 16:18:17
美元,624.05,619.05,626.55,626.55,615.8,2014.04.30 16:17:16
美元,624.11,619.11,626.61,626.61,615.8,2014.04.30 16:16:46
美元,624.2,619.2,626.7,626.7,615.8,2014.04.30 16:16:31
美元,624.28,619.27,626.78,626.78,615.8,2014.04.30 16:16:18
美元,624.22,619.22,626.72,626.72,615.8,2014.04.30 16:16:10
美元,624.15,619.15,626.65,626.65,615.8,2014.04.30 16:16:00
美元,624.13,619.13,626.63,626.63,615.8,2014.04.30 16:15:38
美元,624.11,619.11,626.61,626.61,615.8,2014.04.30 16:15:06
